,team,player,position,to,hall_of_fame,all_pro,pro_bowl,starter,carAV,drAV,games,pass_comp,pass_att,pass_yards,pass_tds,pass_int,rush_att,rush_yards,rush_tds,receptions,rec_yards,rec_tds,interceptions,sacks,tackles
9057,BUF,Tony Cline,TE,1999.0,False,0,0,1,2.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,255.0,1.0,0.0,0.0,0.0
9058,CAR,Frank Garcia,C,2003.0,False,0,0,5,41.0,39.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9059,NYG,Ben Talley,LB,1998.0,False,0,0,0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9060,KAN,Steve Stenstrom,QB,1999.0,False,0,0,0,6.0,2.0,17.0,177.0,314.0,1895.0,4.0,12.0,22.0,100.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0
9063,WAS,Jamie Asher,TE,1998.0,False,0,0,3,12.0,12.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1421.0,5.0,0.0,0.0,0.0
9064,OAK,Matt Dyson,LB,1995.0,False,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9065,CIN,David Dunn,WR,2001.0,False,0,0,0,13.0,12.0,88.0,0.0,1.0,0.0,0.0,0.0,1.0,-13.0,0.0,91.0,1264.0,4.0,0.0,0.0,22.0
9066,STL,Mike Scurlock,DB,1999.0,False,0,0,0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0
9067,DET,Stephen Boyd,LB,2001.0,False,0,2,4,39.0,39.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,365.0
9068,NYJ,Carl Greenwood,DB,1996.0,False,0,0,0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
9069,TAM,Clifton Abraham,DB,1997.0,False,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
9070,BUF,John Holecek,LB,2002.0,False,0,0,4,29.0,24.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,266.0
9071,ATL,Roell Preston,WR,1999.0,False,0,1,0,6.0,3.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,360.0,2.0,0.0,0.0,0.0
9072,DEN,Phil Yeboah-Kodie,LB,1996.0,False,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9074,NOR,William Strong,DB,1996.0,False,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9075,IND,Derek West,OT,1997.0,False,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9077,PIT,Lee Flowers,DB,2002.0,False,0,0,5,40.0,40.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,307.0
9078,WAS,Rich Owens,DE,2002.0,False,0,0,3,29.0,17.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,151.0
9079,NYG,Roderick Mullen,DB,1999.0,False,0,0,0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0
9082,DET,Kez McCorvey,WR,1997.0,False,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0
9083,MIN,James Stewart,RB,1995.0,False,0,0,0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,144.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
9084,MIA,Norman Hand,DT,2004.0,False,0,0,6,37.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,217.0
